nflId,displayName,position,Team,final_rating
43415.0,Demarcus Robinson,WR,BAL,3
52500.0,Devin Duvernay,WR,BAL,6
52609.0,James Proche,WR,BAL,2
52721.0,Binjimen Victor,WR,BAL,1
53456.0,Rashod Bateman,WR,BAL,9
53560.0,Tylan Wallace,WR,BAL,2
42514.0,Nick Boyle,TE,BAL,1
46155.0,Mark Andrews,TE,BAL,9
47852.0,Josh Oliver,TE,BAL,3
54604.0,Isaiah Likely,TE,BAL,7
41245.0,Ja'Wuan James,T,BAL,1
41295.0,Morgan Moses,T,BAL,9
43295.0,Ronnie Stanley,T,BAL,7
54575.0,Daniel Faalele,T,BAL,3
38557.0,Kevin Zeitler,G,BAL,1
47906.0,Ben Powers,G,BAL,9
48220.0,Patrick Mekari,G,BAL,3
52894.0,Trystan Colon,C,BAL,1
54490.0,Tyler Linderbaum,C,BAL,1
43380.0,Jacoby Brissett,QB,CLE,1
44898.0,Kareem Hunt,RB,CLE,6
46104.0,Nick Chubb,RB,CLE,9
47605.0,D'Ernest Johnson,RB,CLE,2
53640.0,Demetric Felton,RB,CLE,1
42347.0,Amari Cooper,WR,CLE,9
52595.0,Donovan Peoples-Jones,WR,CLE,4
53520.0,Anthony Schwartz,WR,CLE,1
54564.0,David Bell,WR,CLE,2
54667.0,Mike Woods,WR,CLE,3
42503.0,Jesse James,TE,CLE,1
44841.0,David Njoku,TE,CLE,9
45339.0,Pharaoh Brown,TE,CLE,3
52523.0,Harrison Bryant,TE,CLE,3
53897.0,Miller Forristall,TE,CLE,1
43297.0,Jack Conklin,T,CLE,1
43444.0,Joe Haeg,T,CLE,1
52418.0,Jedrick Wills,T,CLE,1
53539.0,James Hudson,T,CLE,9
41264.0,Joel Bitonio,G,CLE,9
45798.0,Michael Dunn,G,CLE,1
46235.0,Wyatt Teller,G,CLE,1
44870.0,Ethan Pocic,C,CLE,9
47901.0,Hjalte Froholdt,C,CLE,1
44916.0,C.J. Beathard,QB,JAX,1
53430.0,Trevor Lawrence,QB,JAX,1
52708.0,Jamycal Hasty,RB,JAX,8
52733.0,James Robinson,RB,JAX,5
53454.0,Travis Etienne,RB,JAX,9
54619.0,Snoop Conner,RB,JAX,1
38696.0,Marvin Jones,WR,JAX,1
44849.0,Zay Jones,WR,JAX,1
44978.0,Jamal Agnew,WR,JAX,9
46116.0,Christian Kirk,WR,JAX,4
53707.0,Tim Jones,WR,JAX,1
42302.0,Chris Manhertz,TE,JAX,1
44835.0,Evan Engram,TE,JAX,5
45785.0,Dan Arnold,TE,JAX,9
53574.0,Luke Farrell,TE,JAX,6
44846.0,Cam Robinson,T,JAX,1
47818.0,Jawaan Taylor,T,JAX,6
53474.0,Walker Little,T,JAX,9
41665.0,Tyler Shatley,G,JAX,9
42348.0,Brandon Scherff,G,JAX,7
52524.0,Ben Bartch,G,JAX,5
53643.0,Cole Van Lanen,G,JAX,1
54530.0,Luke Fortner,C,JAX,1
37110.0,Andy Dalton,QB,NO,3
42344.0,Jameis Winston,QB,NO,1
45244.0,Taysom Hill,QB,NO,9
37101.0,Mark Ingram,RB,NO,5
40129.0,Latavius Murray,RB,NO,3
43439.0,Jordan Howard,RB,NO,1
43525.0,Dwayne Washington,RB,NO,5
44879.0,Alvin Kamara,RB,NO,9
52762.0,Tony Jones,RB,NO,2
53932.0,Adam Prentice,FB,NO,1
41292.0,Jarvis Landry,WR,NO,3
42350.0,Kevin White,WR,NO,6
43336.0,Michael Thomas,WR,NO,3
46160.0,Tre'Quan Smith,WR,NO,3
46542.0,Keith Kirkwood,WR,NO,1
48415.0,Deonte Harty,WR,NO,1
53098.0,Marquez Callaway,WR,NO,2
54476.0,Chris Olave,WR,NO,8
55133.0,Rashid Shaheed,WR,NO,9
43383.0,Nick Vannett,TE,NO,3
44009.0,J.P. Holtz,TE,NO,1
52513.0,Adam Trautman,TE,NO,7
52942.0,Juwan Johnson,TE,NO,9
41532.0,James Hurst,T,NO,9
44844.0,Ryan Ramczyk,T,NO,1
53635.0,Landon Young,T,NO,1
42356.0,Andrus Peat,G,NO,3
52432.0,Cesar Ruiz,G,NO,9
52666.0,Calvin Throckmorton,G,NO,1
53515.0,Wyatt Davis,G,NO,1
55125.0,Lewis Kidd,G,NO,1
47831.0,Erik McCoy,C,NO,1
37255.0,Tyrod Taylor,QB,NYG,1
47789.0,Daniel Jones,QB,NYG,9
45186.0,Matt Breida,RB,NYG,6
46071.0,Saquon Barkley,RB,NYG,9
53080.0,Antonio Williams,RB,NYG,1
53625.0,Gary Brightwell,RB,NYG,3
43329.0,Sterling Shepard,WR,NYG,3
44003.0,Marcus Johnson,WR,NYG,3
44908.0,Kenny Golladay,WR,NYG,2
46309.0,Richie James,WR,NYG,9
47954.0,Darius Slayton,WR,NYG,9
48489.0,David Sills,WR,NYG,3
53449.0,Kadarius Toney,WR,NYG,1
54508.0,Wan'Dale Robinson,WR,NYG,6
46797.0,Tanner Hudson,TE,NYG,9
48475.0,Chris Myarick,TE,NYG,5
53047.0,Lawrence Cager,TE,NYG,1
54577.0,Daniel Bellinger,TE,NYG,9
52412.0,Andrew Thomas,T,NYG,9
52514.0,Tyre Phillips,T,NYG,1
53727.0,Devery Hamilton,T,NYG,1
54472.0,Evan Neal,T,NYG,4
42477.0,Mark Glowinski,G,NYG,6
52551.0,Ben Bredeson,G,NYG,9
